airflow-webserver  | 
airflow-webserver  | [2026-03-10T17:27:29.158+0000] {configuration.py:2112} INFO - Creating new FAB webserver config file in: /opt/airflow/webserver_config.py
airflow-webserver  | /home/airflow/.local/lib/python3.12/site-packages/flask_limiter/extension.py:333 UserWarning: Using the in-memory storage for tracking rate limits as no storage was explicitly specified. This is not recommended for production use. See: https://flask-limiter.readthedocs.io#configuring-a-storage-backend for documentation about configuring the storage backend.
airflow-webserver  | [2026-03-10T17:27:30.666+0000] {override.py:1912} INFO - Created Permission View: can create on DAG Runs
airflow-webserver  | [2026-03-10T17:27:30.669+0000] {override.py:1963} INFO - Added Permission can create on DAG Runs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.670+0000] {override.py:1912} INFO - Created Permission View: can read on DAG Runs
airflow-webserver  | [2026-03-10T17:27:30.672+0000] {override.py:1963} INFO - Added Permission can read on DAG Runs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.673+0000] {override.py:1912} INFO - Created Permission View: can edit on DAG Runs
airflow-webserver  | [2026-03-10T17:27:30.675+0000] {override.py:1963} INFO - Added Permission can edit on DAG Runs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.676+0000] {override.py:1912} INFO - Created Permission View: can delete on DAG Runs
airflow-webserver  | [2026-03-10T17:27:30.677+0000] {override.py:1963} INFO - Added Permission can delete on DAG Runs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.679+0000] {override.py:1912} INFO - Created Permission View: menu access on DAG Runs
airflow-webserver  | [2026-03-10T17:27:30.680+0000] {override.py:1963} INFO - Added Permission menu access on DAG Runs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.687+0000] {override.py:1912} INFO - Created Permission View: menu access on Browse
airflow-webserver  | [2026-03-10T17:27:30.688+0000] {override.py:1963} INFO - Added Permission menu access on Browse to role Admin
airflow-webserver  | [2026-03-10T17:27:30.695+0000] {override.py:1912} INFO - Created Permission View: can read on Jobs
airflow-webserver  | [2026-03-10T17:27:30.697+0000] {override.py:1963} INFO - Added Permission can read on Jobs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.698+0000] {override.py:1912} INFO - Created Permission View: menu access on Jobs
airflow-webserver  | [2026-03-10T17:27:30.699+0000] {override.py:1963} INFO - Added Permission menu access on Jobs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.709+0000] {override.py:1912} INFO - Created Permission View: can read on Audit Logs
airflow-webserver  | [2026-03-10T17:27:30.711+0000] {override.py:1963} INFO - Added Permission can read on Audit Logs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.712+0000] {override.py:1912} INFO - Created Permission View: menu access on Audit Logs
airflow-webserver  | [2026-03-10T17:27:30.713+0000] {override.py:1963} INFO - Added Permission menu access on Audit Logs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.723+0000] {override.py:1912} INFO - Created Permission View: can create on Variables
airflow-webserver  | [2026-03-10T17:27:30.724+0000] {override.py:1963} INFO - Added Permission can create on Variables to role Admin
airflow-webserver  | [2026-03-10T17:27:30.726+0000] {override.py:1912} INFO - Created Permission View: can read on Variables
airflow-webserver  | [2026-03-10T17:27:30.727+0000] {override.py:1963} INFO - Added Permission can read on Variables to role Admin
airflow-webserver  | [2026-03-10T17:27:30.729+0000] {override.py:1912} INFO - Created Permission View: can edit on Variables
airflow-webserver  | [2026-03-10T17:27:30.730+0000] {override.py:1963} INFO - Added Permission can edit on Variables to role Admin
airflow-webserver  | [2026-03-10T17:27:30.731+0000] {override.py:1912} INFO - Created Permission View: can delete on Variables
airflow-webserver  | [2026-03-10T17:27:30.733+0000] {override.py:1963} INFO - Added Permission can delete on Variables to role Admin
airflow-webserver  | [2026-03-10T17:27:30.734+0000] {override.py:1912} INFO - Created Permission View: menu access on Variables
